CustomerID,First Name,Last Name,EMAIL,Phone_Number,DOB,Gender,Province,City,PostalCode,JoinDate,BranchID,CustomerSegment
C0001,Danielle,Johnson,john21@example.net,(419) 600-1338 x908,04/09/1974,Male,BC,Vancouver,K1T3L7,2015-06-30,BR005,
C0002,Matthew,Moore,curtis61@example.com,1 (594) 078-1618,19/10/1957,female,BC,Richmond,J4C5B2,31/03/2023,BR002,
C0003,Melissa,Delacruz,oramirez@example.com,355 341 9283,13-Aug-1969,Non-binary,ON,Toronto,R4L6Y1,2015-03-21,BR020,
C0004,Jeremy,Johnson,richard13@example.net,1 (937) 672-4238,1967-11-03,Female,ON,Hamilton,S4R3P9,23-Mar-2022,BR008,
C0005,Trevor,Campos,hernandezernest@example.net,+1 (191) 669-7848,16/12/1974,M,NB,Saint John,Y2L 5N7,23/02/2010,BR014,
C0006,Eric,Smith,teresa28@example.org,1-689-325-2880,13-Dec-1963,female,SK,Regina,A5E4P1,2014-10-30,BR004,
C0007,John  ,Bradley,millertodd@example.org,(522) 782-4896 x383,05-Sep-1958,F,BC,Surrey,P8T2X4,19/01/2018,BR020,
C0008,Jeffrey,Morgan,briannasmith@example.net,431-051-8347,1991-03-21,Male,MB,Winnipeg,V7K 4V2,2022-01-10,BR013,
C0009,Collin,Jordan,ujenkins@example.org,306.513.3387,20/04/1976,Female,BC,Richmond,H4L2T8,15/11/2023,BR019,
C0010,Lindsey,Chase,williamsyvette@example.org,732.677.3602,10/02/1954,F,QC,Montreal,R5L 7T9,10/02/2015,BR003,
C0011,Dorothy,Tucker,kennethnovak@example.net,(305) 009-7882 x081,07-Feb-1984,Female,QC,Montreal,C2K 4R1,27/03/2016,BR012,
C0012,Christine  ,Barnes,sarah35@example.org,1-262-475-1079,15/11/1981,Non-binary,AB,Red Deer,Y5J 3X6,13/09/2014,BR009,
C0013,Nicole  ,Suarez,justin78@example.net,1-298-084-1241,1965-05-09,Non-binary,BC,Richmond,L6M 4J5,24/12/2021,BR008,
C0014,William,King,davisrodney@example.com,105-242-7868,16/01/1984,Non-binary,AB,Lethbridge,C1G 6Y9,21/01/2016,BR018,
C0015,Earl,Anderson,michael05@example.org,(715) 869-2322,1955-01-07,male,QC,Laval,H4N 5S3,20/02/2015,BR011,
C0016,Kristin,Rodriguez,,,09-Dec-1955,Non-binary,NS,Dartmouth,,2014-09-25,BR011,
C0017,Natalie,Green,benjamin96@example.com,1 (769) 816-9340,30-Jun-1985,Male,QC,Gatineau,X6Y 7J2,16/04/2020,BR009,
C0018,Stacy,Mccall,elizabeth14@example.net,1-365-648-2366,12-May-2000,Female,AB,Edmonton,R5Y5A4,2022-02-02,BR019,
C0019,Russell,Carpenter,steven73@example.net,121-489-5134 x332,23-Jun-1982,male,NS,Dartmouth,K8V 7C4,02/12/2014,BR017,
